time_btjd,sap_flux_e_per_s,sap_flux_err_e_per_s,normalized_flux,normalized_flux_err
1683.356050914555,20987.16796875,16.185733795166016,0.99980530396656531,0.00077107032835939632
1683.3574398049473,20977.890625,16.188072204589844,0.9993633416445511,0.0007711817275795422
1683.3588286955728,20997.673828125,16.187984466552734,1.0003057914044842,0.00077117754783718757
1683.3602175861975,20993.25,16.188228607177734,1.0000950451604078,0.000771189178424609
1683.361606476589,20974.01953125,16.177114486694336,0.99917892705039701,0.00077065971410504141
1683.3629953672144,21009.05078125,16.19586181640625,1.0008477767783226,0.00077155281600945706
1683.3643842576066,20980.744140625,16.184255599975586,0.99949927995033272,0.00077099990878711812
1683.3657731482322,21005.01953125,16.192121505737305,1.0006557325188201,0.00077137463177560223
1683.3671620388573,20987.21484375,16.185125350952148,0.99980753703935021,0.00077104134275480694
1683.3685509292491,20986.69140625,16.187992095947266,0.99978260105991867,0.00077117791129304456
1683.3699398198737,21012.333984375,16.191778182983398,1.0010041849179661,0.0007713582762620409
1683.371328710266,21002.11328125,16.191005706787109,1.0005172820061554,0.00077132147635652773
1683.3727176008915,21010.560546875,16.191890716552734,1.0009197003309367,0.00077136363723593043
1683.3741064912838,21006.80859375,16.194452285766602,1.0007409614634442,0.00077148566753989112
1683.3754953819093,20995.888671875,16.187896728515625,1.0002207485492587,0.00077117336809483304
1683.3768842723016,20980.228515625,16.186470031738281,0.99947471614969874,0.0007711054018495891
1683.3782731626934,21007.419921875,16.191455841064453,1.0007700844543475,0.00077134292025208596
1683.3796620533187,21034.908203125,16.202995300292969,1.0020795955533008,0.00077189264723567688
1683.3810509437117,20997.00390625,16.197229385375977,1.0002738770725998,0.00077161796547180986
1683.3824398341035,21009.1015625,16.197555541992188,1.0008501959405063,0.00077163350320969318
1683.3838287247281,21007.82421875,16.193986892700195,1.0007893447071174,0.00077146349673261902
1683.3852176151208,20987.931640625,16.188383102416992,0.99984168444401955,0.00077119653840571165
1683.3866065055126,21007.90625,16.193767547607422,1.0007932525844909,0.0007714530473767326
1683.3879953961377,21013.87890625,16.194833755493164,1.0010777832751687,0.0007715038403327372
1683.3893842865309,21026.630859375,16.195192337036133,1.0016852721173648,0.0007715209227580124
1683.3907731769227,20995.142578125,16.188838958740234,1.0001852054740987,0.00077121825489316262
1683.3921620673145,20991.39453125,16.19044303894043,1.000006652696005,0.00077129467148707997
1683.3935509579396,20992.642578125,16.193832397460938,1.0000661082589033,0.00077145613675151648
1683.3949398483314,21001.69140625,16.190330505371094,1.0004971843510913,0.00077128931051319034
1683.3963287387242,20986.3359375,16.186491012573242,0.99976566692463309,0.00077110640135319561
1683.3977176291171,21003.3671875,16.191946029663086,1.0005770167031518,0.00077136627229089307
1683.3991065195087,20973.001953125,16.179599761962891,0.99913045076202445,0.00077077810985043296
1683.4004954099005,20977.6640625,16.182046890258789,0.99935254845942401,0.00077089468831653988
1683.401884300526,21019.962890625,16.194751739501953,1.0013676175137107,0.0007714999331822753
1683.4032731909178,20987.767578125,16.189334869384766,0.99983386868927238,0.00077124187952386236
1683.4046620813101,20998.896484375,16.191068649291992,1.0003640373862908,0.00077132447486734737
1683.4060509717033,20990.515625,16.18939208984375,0.99996478258128796,0.00077124460544278925
1683.4074398620951,20975.865234375,16.187150955200195,0.99926685429130291,0.00077113784028481913
1683.4088287524869,20993.625,16.186914443969727,1.0001129097426873,0.00077112657315325458
1683.4102176428792,20966.103515625,16.185836791992188,0.99880181688384462,0.00077107523501346472
